listing,price,brand,size
Handcrafted Daisy Floral Crochet Bag - Teal and‎ Yellow,35.0,Handmade,OS
"BCBG Max Azria Foldover Shoylder Bag. Black Faux Leather. NWT
          
      NWT",65.0,BCBGMaxAzria,"16""w  x 8""h"
JJ WINTERS Ivy Crossbody Mini Saddle Bag  Cognac Genuine Leather Gold Ring Women,50.0,JJ Winters,8.5” W x 6.5” H x 2.5” D
LUCKY BRAND Straw Woven Bag Shoulder Bag Straw Pom Accent Cinch Closure,41.0,Lucky Brand,OS
The Limited Gray Clutch,18.0,The Limited,OS
Cartier Brown Leather Crossbody Bag,350.0,Cartier,OS
"Michael Kors Charlotte Tote & Double Zip Wallet Black (NWT)
          
      NWT",269.0,Michael Kors,Large
Christian Dior Cannage embossed Blue Quilted Patent Leather Long Zippy Wallet,440.0,Dior,OS
"FAME Green Quilted Faux Leather Adjustable Crossbody Bag Travel Purse NEW
          
      NWT",29.0,Fame,OS
Furla Black and Tan banker bag,150.0,Furla,OS
"Calvin Klein Statement Series
Lock Flap Merlot Leather Bucket
Crossbody Bag/ new
          
      Boutique",89.0,Calvin Klein,8X9X4
Kipling Small Pink Crossbody Bag | Keefe Nylon Travel Purse w/ Zipper Pockets,30.0,Kipling,OS
Dagne Dover Inde Neoprene Backpack Diaper Bag Olive Green Large Size,75.0,Dagne Dover,OS
"NWT MICHAEL MICHAEL KORS Nola‎ Small Crystal Embellished Chain Crossbody Oxblood
          
      NWT",229.0,MICHAEL Michael Kors,OS
"Michael Kors Jet Set Medium Pebbled Leather Front-Flap Crossbody Bag - NWT
          
      NWT",107.0,Michael Kors,OS
Louis Vuitton Tressor Epi Wallet (PRICE FIRM),189.0,Louis Vuitton,OS
"Black Wallet with Gold Zipper by Black
          
      NWT",90.0,Black,OS
KISS /Lips beaded change purse/ key chain‎,14.0,None,"5×4"""
Italian Vintage Colorful Women's Tote Bag,20.0,,OS
Disneyland Paris Minnie Croisiere crossbody bag navy blue red nautical,60.0,Disney,OS
Kate Spade Mini Maise Light Blue Crossbody Bag with Gold Accents,69.0,kate spade,OS
❤️Auth💚VTG GUCCI Clutch monogram Sherryline  Ophidia Bag✨,599.0,Gucci,OS
Brown Shoulder Bag,12.0,,OS
Baggallini Womens Black Crossbody Wallet Multi Pocket‎,28.0,Baggallini,OS
Louis Vuitton Brown Wallet with Iconic Checkered Design,595.0,Louis Vuitton,OS
"NWT Brahmin Anita Toasted Almond wallet
          
      NWT",110.0,Brahmin,OS
COACH Faye Crossbody Purse Bag All Black Pebbled Leather Flap F1880-F22349,159.0,Coach,OS
"Michael Kors Sheila Large Signature Logo and Metallic Tote Bag
          
      NWT",118.0,Michael Kors,OS
"NEW HANDCRAFTED RATTAN CROSSBODY BAG PURSE
          
      NWT",55.0,,OS
Simply Vera Wang Black Snake Print Chain Strap Shoulder Bag Purse Tote,20.0,simply vera wang,OS
Cato Fold Over Crossbody Purse,20.0,Cato,OS
"Loungefly Coraline Doll Iridescent‎ Mini Backpack
          
      NWT",90.0,Loungefly,OS
🧩Lululemon All Night Festival Bag 5L - Black,56.0,lululemon athletica,OS
Michal Kors crossbody messenger bag,89.0,Michael Kors,OS
"Patricia Nash Toscano Tote Purse NWT Ribbons & Raffia Collection Tassel Leather
          
      NWT",144.0,Patricia Nash,OS
Bally patent leather clutch,125.0,Bally,OS
Jason Wu Dylan Nylon Flap Bag-Black-Used,22.0,Jason Wu,OS
Stone Mountain Crossbody purse $18,24.0,Stone Mountain Accessories,OS
"Juicy couture‎ extra spender mini tote purse
          
      NWT",65.0,Juicy Couture,See photos
Louis Vuitton Beige Leather Luggage Tag,250.0,Louis Vuitton,OS
"Fendi Shoulder Bag
          
      NWT",1850.0,Fendi,OS
Salvatore Ferragamo Bow Wallet,98.0,Salvatore Ferragamo,OS
"Michael kors studded Selma medium bag+wallet+Pom
          
      NWT",475.0,Michael Kors,OS
Nine west black faux leather  many pockets zipper top shoulder bag,25.0,Nine West,OS
"BROWN SUPER SOFT VEGAN LEATHER SHOULDER BAG AND COIN CLUTCH 2 PIECE SET
          
      Boutique",46.0,,OS
Salvatore Ferragamo Grained Calfskin Sofia Satchel,750.0,Salvatore Ferragamo,OS
Loungefly IT S.S. Georgie Paper Boat Crossbody Bag – Time‎ to Float,62.0,Loungefly,OS
🖤 Coach Black Signature Crossbody Bag | Excellent Condition,50.0,Coach,OS
The Bridge Firenze 1969 Yellow Leather Small Handbag,100.0,The Bridge,OS
"BAGGU x Mara‎ Hoffman Standard Nylon Tote Brand New
          
      NWT",25.0,BAGGU,OS
J Francis Brown Faux Leather Bag NWOT,30.0,J Francis,OS
💃AUTHENTIC LOUIS VUITTON PAPILLON 30 HANDBAG PURSE MONOGRAM NO0040,1129.0,Louis Vuitton,OS
2 for $100 Formal dresses with free shipping,3.0,,OS
"NWT Michael Kors Jet Set Travel Large Zip Wristlet Black Saffiano Leather
          
      NWT",165.0,Michael Kors,"7.75"" wide x 4.75"" high x .75"" deep"
Michael Kors SMALL Crossbody..black With Gold..Nearly New Condition!,99.0,Michael Kors,OS
"Gothic Witch Castle Print Cosmetic Pouch Bag, Halloween Witchy Pumpkin Cats",15.0,,OS
🔥👜RARE👜🔥Dior 30 Montaigne Chain Bag,388.0,Dior,OS
NWOT Vera Bradley Houndstooth Brown Wallet,22.0,Vera Bradley,OS
Authentic Louis Vuitton Mick PM Messenger/Crossbody Bag Navy Blue,1100.0,Louis Vuitton,OS
"Kate Spade Leila Large Continental Wallet In Dusty Blue
          
      NWT",120.0,kate spade,"3.9"" h x 7.7"" w"
Vintage Celine Sport Carriage Crossbody Shoulder Bag Italian Leather‎ Beige,181.0,Celine,OS
"Stoney Clover Lane Mini Brunch Tote Bag
          
      NWT",175.0,Stoney Clover Lane,OS
Whiting & Davis - Superb Vintage - Gold Sequin Clutch Bag - Exquisite!,95.0,,OS
Lodi’s black cross body bag size small,40.0,Lodis,OS
Yves Saint Laurent Sunset grained crossbody bag,1709.0,Yves Saint Laurent,OS
"Crab Keychain Leather Ocean Charm NEW FAST SHIP
          
      NWT",22.0,No Brand,OS
"Coach Brown and Red Snoopy Tote
          
      NWT",125.0,Coach,OS
Tan and Black Checkered Women's Bag,20.0,abbie & emmie,OS
Tory Burch McGraw Triple Compartment Pebble Leather Tassel Tote Purse Bag Black,200.0,Tory Burch,OS
Colorful Button Clutch Bag,20.0,,OS
Louis Vuitton shoulder bag monogram Nile,765.0,Louis Vuitton,OS
"Pink Heart Quilted Trifold Wallet NWT
          
      NWT",20.0,JC Fashion,"7.5""w x 4""h"
KATE SPADE Retro Specs Case,15.0,kate spade,OS
Tommy Bahama Convertible Laptop Travel School Backpack Green Multi-Pockets,15.0,Tommy Bahama,OS
LOUIS VUITTON MONOGRAM WAIST BELT CROSSBODY BAG,425.0,Louis Vuitton,OS
"INC International Concepts Red Velvet Crossbody/Shoulder Bag
          
      NWT",45.0,INC International Concepts,OS
GUESS Vintage Brown Crossbody Shoulder Bag,30.0,Guess,OS
"Infantino Stroll Phone Case Neoprene Smartphone‎ Holder for Strollers
          
      NWT",14.0,Infantino,OS
Dooney Bourke Women's Signature Monogram Single Strap Shoulder Bag,69.0,Dooney & Bourke,OS
BelvAH BAG LARGe,12.0,belvah,OS
Coach Turnlock Tote Blue Large Designer Bag,60.0,Coach,OS
Lululemon Athletica Reusable Large Tote Bags ~ Lot of 2,13.0,lululemon athletica,OS
Coco Rocha x Botkier Gray Satchel with Silver Hardware,30.0,Botkier,OS
Kipling bag,40.0,Kipling,OS
"DKNY “CARLITA MD TOTE” BAG, BEIGE WITH BROWN LOGO ALL OVER WITH SHOULDER STRAP
          
      NWT",95.0,Dkny,OS
"Victorias Secret Stylish Black Monogram Bag With Sequins NWT
          
      NWT",35.0,Victoria's Secret,OS
"Michael Kors Mirella Small Logo Crossbody Bag & Matching Phone Case Wallet
          
      NWT",249.0,Michael Kors,OS
Multisac Tote Purse Shoulder Bag in Vienna Floral Hazelnut,35.0,Multisac,OS
Michael Kors Hinge Shoulder Tote Satchel Bag Purple Pebbled Leather AQ1106,79.0,Michael Kors,OS
❤️Authentic Louis Vuitton Wallet Crossbody Shoulder Bag Damier Ebene,795.0,Louis Vuitton,OS
Louis Vuitton Taurillon & Python Leather Capucines Mini Handbag,7499.0,Louis Vuitton,OS
Kate Spade Vibrant Red Quilted Mini Bag,80.0,kate spade,OS
"Love Moschino Shiny Quilted Crossbody Or Clutch, Small, Black, Fits Phome
          
      NWT",126.0,Love Moschino,Small
Shiraleah Chicago Women's Orange Tribal Print Woven Wristlet/Wallet Wooden Clasp,15.0,Shiraleah Chicago,OS
| HIDES | purse. Coffee Brown. OS.,85.0,HIDES,OS
Louis Vuitton Vintage Amazon Crossbody Messenger Bag,625.0,Louis Vuitton,OS
Vera Bradley New Hope Pattern Bag Anti-trafficking Empowers Women Tote Rare,35.0,Vera Bradley,OS
"Michael Kors Jet Set Travel Small Signature Logo Coin Purse Vanilla
          
      NWT",69.0,Michael Kors,OS
Nicole Miller Wristlet Black & White Striped with Purple Pink Floral Design,16.0,Nicole Miller,OS
GUCCI Pebbled Calfskin Small SohoDisco Crossbody Bag,950.0,Gucci,OS
Burberry Pink Orchard Leather Satchel w/added unbranded crossbody strap,489.0,Burberry,Length: 25 cm Width: 36 cm
Vera Bradley Pink Paisley Women's Bag,12.0,Vera Bradley,Crossbody with adjustable strap
TUMI Voyageur Women's Compact Round Crossbody Bag,110.0,Tumi,OS
